Timestamp,Symbol,LTP,Change,Change%
2025-11-12T09:54:23.698028,RELIANCE,1505.0,0.0,0.0
2025-11-12T09:54:23.698413,TCS,3097.6,0.0,0.0
2025-11-12T09:54:23.698779,HDFCBANK,995.4,0.0,0.0
2025-11-12T09:54:23.699132,INFY,1548.9,0.0,0.0
2025-11-12T09:54:23.699780,ICICIBANK,1359.1,0.0,0.0
2025-11-12T09:54:23.700436,HINDUNILVR,2420.6,0.0,0.0
2025-11-12T09:54:23.700924,ITC,406.9,0.0,0.0
2025-11-12T09:54:23.701326,SBIN,958.85,0.0,0.0
2025-11-12T09:54:23.701915,BHARTIARTL,2067.1,0.0,0.0
2025-11-12T09:54:23.702298,KOTAKBANK,2088.1,0.0,0.0
2025-11-12T09:54:23.702693,AXISBANK,1228.0,0.0,0.0
2025-11-12T09:54:23.703956,HCLTECH,1586.7,0.0,0.0
2025-11-12T09:54:23.704770,MARUTI,15639.0,0.0,0.0
2025-11-12T09:54:23.705520,BAJFINANCE,1012.5,0.0,0.0
2025-11-12T09:54:23.706487,M&M,3761.5,0.0,0.0
2025-11-12T09:54:23.707123,SUNPHARMA,1717.2,0.0,0.0
2025-11-12T09:54:23.707560,TITAN,3829.1,0.0,0.0
2025-11-12T09:54:23.707993,ULTRACEMCO,11886.0,0.0,0.0
2025-11-12T09:54:23.708686,NESTLEIND,1264.4,0.0,0.0
2025-11-12T09:54:23.710615,TATASTEEL,180.99,0.0,0.0
2025-11-12T09:54:23.718819,BAJAJFINSV,2001.0,0.0,0.0
2025-11-12T09:54:23.723767,POWERGRID,21.99,0.0,0.0
2025-11-12T09:54:23.724386,NTPC,327.2,0.0,0.0
2025-11-12T09:54:23.724963,TECHM,1429.9,0.0,0.0
2025-11-12T09:54:23.727021,WIPRO,244.55,0.0,0.0
2025-11-12T09:54:23.732264,ONGC,254.05,0.0,0.0
2025-11-12T09:54:23.732777,COALINDIA,384.65,0.0,0.0
2025-11-12T09:54:23.734132,TATAMOTORS,409.0,0.0,0.0
2025-11-12T09:54:23.734675,ADANIPORTS,1496.5,0.0,0.0
2025-11-12T09:54:23.735159,JSWSTEEL,1183.5,0.0,0.0
2025-11-12T09:54:23.735592,GRASIM,2777.6,0.0,0.0
2025-11-12T09:54:23.736915,HINDALCO,797.2,0.0,0.0
2025-11-12T09:54:23.737480,BRITANNIA,5940.0,0.0,0.0
2025-11-12T09:54:23.738010,CIPLA,136.72,0.0,0.0
2025-11-12T09:54:23.738578,EICHERMOT,6884.0,0.0,0.0
2025-11-12T09:54:23.739318,HEROMOTOCO,5472.5,0.0,0.0
2025-11-12T09:54:23.739712,SHREECEM,27045.0,0.0,0.0
2025-11-12T09:54:23.740112,BAJAJ-AUTO,8875.0,0.0,0.0
2025-11-12T09:54:23.740554,DRREDDY,1221.6,0.0,0.0
2025-11-12T09:54:23.740929,DIVISLAB,6490.0,0.0,0.0
2025-11-12T09:54:23.747450,INDUSINDBK,840.65,0.0,0.0
2025-11-12T09:54:23.748842,ADANIENT,2463.3,0.0,0.0
2025-11-12T09:54:23.749374,TATACONSUM,1157.7,0.0,0.0
2025-11-12T09:54:23.750155,APOLLOHOSP,7470.0,0.0,0.0
2025-11-12T09:54:23.751106,BPCL,377.65,0.0,0.0
2025-11-12T09:54:23.752118,SBILIFE,1990.1,0.0,0.0
2025-11-12T09:54:23.753896,UPL,764.0,0.0,0.0
2025-11-12T09:54:23.755017,BAJAJFINSV,2001.4,0.40000000000009095,0.019990004997505795
